什么	shen me
工作会议	gong zuo hui yi
绿色食品	lv se shi pin
师范大学	shi fan da xue
行政管理	xing zheng guan li
清华大学	qing hua da xue
交通大学	jiao tong da xue
事业单位	shi ye dan wei
网络游戏	wang luo you xi
仅供参考	jin gong can kao
科技大学	ke ji da xue
落到实处	luo dao shi chu
全国人大	quan guo ren da
人大常委	ren da chang wei
绝大多数	jue da duo shu
摩托罗拉	mo tuo luo la
理工大学	li gong da xue
改革开放	gai ge kai fang
技术改造	ji shu gai zao
高度重视	gao du zhong shi
行业协会	hang ye xie hui
开拓创新	kai tuo chuang xin
技术水平	ji shu shui ping
信息系统	shen xi xi tong
家用电器	jia yong dian qi
工程技术	gong cheng ji shu
高等学校	gao deng xue xiao
解放思想	jie fang si xiang
可以说是	ke yi shuo shi
没有任何	mei you ren he
公司地址	gong si di zhi
专业技术	zhuan ye ji shu
技术人才	ji shu ren cai
基础知识	ji chu zhi shi
每个人都	mei ge ren dou
科技人员	ke ji ren yuan
社会科学	she hui ke xue
绝大部分	jue da bu fen
联席会议	lian xi hui yi
体制改革	ben zhi gai ge
技术转让	ji shu zhuan rang
这个问题	zhe ge wen ti
数字电视	shu zi dian shi
呼和浩特	hu he hao te
以下简称	yi xia jian cheng
经济学家	jing ji xue jia
代表大会	dai biao da hui
网络安全	wang luo an quan
劳动合同	lao dong he tong
基本知识	ji ben zhi shi
劳动关系	lao dong guan xi
浙江大学	zhe jiang da xue
假冒伪劣	jia mao wei lie
行为规范	xing wei gui fan
技术成果	ji shu cheng guo
发达国家	fa da guo jia
广播电视	guang bo dian shi
技术参数	ji shu can shu
公司名称	gong si ming cheng
不断提高	bu duan ti gao
社会各界	she hui ge jie
密切联系	mi qie lian xi
民主党派	min zhu dang pai
开拓进取	kai tuo jin qu
什么时候	shen me shi hou
体育运动	ben yu yun dong
为什么要	wei shen me yao
也就是说	ye jiu shi shuo
历史沿革	li shi yan ge
还有什么	hai you shen me
合资企业	he zi qi ye
科研人员	ke yan ren yuan
就是为了	jiu shi wei le
可以获得	ke yi huo de
统计数据	tong ji shu ju
教育改革	jiao yu gai ge
技术指标	ji shu zhi biao
科研单位	ke yan dan wei
隶属关系	dai shu guan xi
全国各地	quan guo ge di
加大力度	jia da li du
领先地位	ling xian di wei
思想政治	si xiang zheng zhi
小康社会	xiao kang she hui
管理模式	guan li mo shi
至关重要	zhi guan zhong yao
加大投入	jia da tou ru
什么样的	shen me yang de
重要作用	zhong yao zuo yong
现代教育	xian dai jiao yu
中国特色	zhong guo te se
价格便宜	jia ge pian yi
利害关系	li hai guan xi
社会保障	she hui bao zhang
金属材料	jin shu cai liao
广播电台	guang bo dian tai
这种情况	zhe zhong qing kuang
远程教育	yuan cheng jiao yu
字体大小	zi ben da xiao
这些问题	zhe suo wen ti
毫无疑问	hao wu ni wen
历史时期	li shi shi qi
我的朋友	wo de peng you
国家机关	guo jia ji guan
没有问题	mei you wen ti
重要讲话	zhong yao jiang hua
截止日期	jie zhi ri qi
贯彻执行	guan che zhi xing
调查报告	diao cha bao gao
所带来的	suo dai lai de
旅游景区	lv you jing qu
注意的是	zhu yi de shi
考试大纲	kao shi da gang
家庭影院	jia ting ying yuan
行政审批	xing zheng shen pi
网络科技	wang luo ke ji
教学大纲	jiao xue da gang
行政执法	xing zheng zhi fa
多种形式	duo zhong xing shi
会计制度	kuai ji zhi du
某种程度	mou zhong cheng du
人民大学	ren min da xue
复旦大学	fu dan da xue
最大限度	zui da xian du
大学毕业	da xue bi ye
很多人都	hen duo ren dou
隆重开幕	long zhong kai mu
华东地区	hua dong di qu
伙伴关系	huo ban guan xi
另行通知	ling xing tong zhi
暂行办法	zan xing ban fa
越来越大	yue lai yue da
金属制品	jin shu zhi pin
阿尔卡特	a er ka te
华北地区	hua bei di qu
无处不在	wu chu bu zai
一定程度	yi ding cheng du
便民服务	bian min fu wu
人大代表	ren da dai biao
扩大会议	kuo da hui yi
素质教育	su zhi jiao yu
重点项目	zhong dian xiang mu
脚踏实地	jiao ta shi di
举足轻重	ju zu qing zhong
隆重推出	long zhong tui chu
文件大小	wen jian da xiao
专家学者	zhuan jia xue zhe
很长时间	hen chang shi jian
第二十六	di er shi liu
会计核算	kuai ji he suan
学前教育	xue qian jiao yu
会议纪要	hui yi ji yao
少数民族	shao shu min zu
地理位置	di li wei zhi
家庭生活	jia ting sheng huo
大力支持	da li zhi chi
学习心得	xue xi xin de
社会矛盾	she hui mao dun
北京地区	bei jing di qu
解放日报	jie fang ri bao
莫名其妙	mo ming qi miao
省公安厅	sheng gong an ting
家庭成员	jia ting cheng yuan
家喻户晓	jia yu hu xiao
青藏铁路	qing zang tie lu
文化教育	wen hua jiao yu
澳大利亚	ao da li ya
高等院校	gao deng yuan xiao
名副其实	ming fu qi shi
劳动模范	lao dong mo fan
世界大战	shi jie da zhan
经济特区	jing ji te qu
社会发展	she hui fa zhan
千万不要	qian wan bu yao
综合治理	zong he zhi li
社会生活	she hui sheng huo
总体规划	zong ben gui hua
教育工作	jiao yu gong zuo
人员伤亡	ren yuan shang wang
系统工程	xi tong gong cheng
提示信息	ti shi shen xi
政协委员	zheng xie wei yuan
党员干部	dang yuan gan bu
角色扮演	jue se ban yan
基本思路	ji ben si lu
还不知道	hai bu zhi dao
换句话说	huan ju hua shuo
价格下跌	jia ge xia die
伟大事业	wei da shi ye
房地产业	fang di chan ye
美术学院	mei shu xue yuan
网络媒体	wang luo mei ben
重大问题	zhong da wen ti
价值取向	jia zhi qu xiang
社会团体	she hui tuan ben
社会效益	she hui xiao yi
武汉大学	wu han da xue
电子地图	dian zi di tu
国际社会	guo ji she hui
局部地区	ju bu di qu
可口可乐	ke kou ke le
绿色环保	lv se huan bao
适用范围	shi yong fan wei
红十字会	hong shi zi hui
大家一起	da jia yi qi
欢迎大家	huan ying da jia
参考文献	can kao wen xian
林业大学	lin ye da xue
先进技术	xian jin ji shu
医科大学	yi ke da xue
调查研究	diao cha yan jiu
成人教育	cheng ren jiao yu
极其重要	ji qi zhong yao
亟待解决	ji dai jie jue
警钟长鸣	jing zhong chang ming
综合素质	zong he su zhi
电子技术	dian zi ji shu
核心内容	he xin na rong
领导核心	ling dao he xin
文化遗产	wen hua yi chan
不好意思	bu hao yi si
社会保险	she hui bao xian
民意调查	min yi diao cha
正在进行	zheng zai jin xing
极为重要	ji wei zhong yao
文学艺术	wen xue yi shu
学生宿舍	xue sheng su she
和谐相处	he xie xiang chu
极品飞车	ji pin fei che
民办学校	min ban xue xiao
合作意向	he zuo yi xiang
计量单位	ji liang dan wei
这个时候	zhe ge shi hou
认真落实	ren zhen luo shi
占地面积	zhan di mian ji
党和国家	dang he guo jia
合资公司	he zi gong si
没有关系	mei you guan xi
我的好友	wo de hao you
见义勇为	jian yi yong wei
五年计划	wu nian ji hua
第三十六	di san shi liu
创造奇迹	chuang zao qi ji
价格低廉	jia ge di lian
简要说明	jian yao shuo ming
其他地区	qi ta di qu
大型企业	da xing qi ye
建筑工地	jian zhu gong di
名词解释	ming ci jie shi
明码标价	ming ma biao jia
出席会议	chu xi hui yi
这样的人	zhe yang de ren
物美价廉	wu mei jia lian
一般来说	yi ban lai shuo
中山大学	zhong shan da xue
形形色色	xing xing se se
集思广益	ji si guang yi
教育方针	jiao yu fang zhen
各种各样	ge zhong ge yang
解放军报	jie fang jun bao
民间艺术	min jian yi shu
也是一种	ye shi yi zhong
女大学生	nv da xue sheng
教书育人	jiao shu yu ren
价值观念	jia zhi guan nian
聚精会神	ju jing hui shen
履行义务	lv xing yi wu
火炬计划	huo ju ji hua
这篇文章	zhe pian wen zhang
合同纠纷	he tong jiu fen
大大提高	da da ti gao
可以预见	ke yi yu jian
社会治安	she hui zhi an
节能降耗	jie nai jiang hao
络绎不绝	luo yi bu jue
名牌大学	ming pai da xue
是什么样	shi shen me yang
我的心里	wo de xin li
知识产权	zhi shi chan quan
传统文化	chuan tong wen hua
大多数人	da duo shu ren
默默无闻	mo mo wu wen
为数不多	wei shu bu duo
联合早报	lian he zao bao
心脑血管	xin nao xue guan
学术论文	xue shu lun wen
有效期限	you xiao qi xian
量力而行	liang li er xing
南京大学	nan jing da xue
五中全会	wu zhong quan hui
教职员工	jiao zhi yuan gong
大学教授	da xue jiao shou
埋头苦干	mai tou gu gan
密切关系	mi qie guan xi
财经大学	cai jing da xue
紧急会议	jin ji hui yi
没有时间	mei you shi jian
明显好转	ming xian hao zhuan
深化改革	shen hua gai ge
深圳特区	shen zhen te qu
社会实践	she hui shi jian
和平统一	he ping tong yi
六十年代	liu shi nian dai
每天都要	mei tian dou yao
中国传统	zhong guo chuan tong
综合利用	zong he li yong
直属单位	zhi shu dan wei
大部分是	da bu fen shi
去年同期	qu nian tong qi
贯彻落实	guan che luo shi
其中一位	qi zhong yi wei
提高警惕	ti gao jing ti
值得注意	zhi de zhu yi
完全没有	wan quan mei you
文化娱乐	wen hua yu le
动员大会	dong yuan da hui
海纳百川	hai na bai chuan
蜡笔小新	la bi xiao xin
劳动强度	lao dong qiang du
同济大学	tong ji da xue
很有意思	hen you yi si
传真号码	chuan zhen hao ma
经济繁荣	jing ji fan rong
弄虚作假	nong xu zuo jia
由此可见	you ci ke jian
还可以在	hai ke yi zai
不可思议	bu ke si yi
发展壮大	fa zhan zhuang da
单机游戏	dan ji you xi
可见一斑	ke jian yi ban
拉丁美洲	la ding mei zhou
计算机系	ji suan ji xi
社会环境	she hui huan jing
行政机关	xing zheng ji guan
进行自我	jin xing zi wo
石家庄市	shi jia zhuang shi
学术会议	xue shu hui yi
大学校长	da xue xiao zhang
惊心动魄	jing xin dong po
两国关系	liang guo guan xi
千方百计	qian fang bai ji
数据传输	shu ju chuan shu
货真价实	huo zhen jia shi
党和政府	dang he zheng fu
什么地方	shen me di fang
来到这里	lai dao zhe li
合影留念	he ying liu nian
精心策划	jing xin ce hua
合法权利	he fa quan li
卷土重来	juan tu chong lai
无忧无虑	wu you wu lv
价格波动	jia ge bo dong
校园生活	xiao yuan sheng huo
行政复议	xing zheng fu yi
会议记录	hui yi ji lu
交通不便	jiao tong bu bian
借此机会	jie ci ji hui
什么意思	shen me yi si
有声有色	you sheng you se
克莱斯勒	ke lai si le
大中城市	da zhong cheng shi
共产党员	gong chan dang yuan
西伯利亚	xi bo li ya
解放战争	jie fang zhan zheng
充分调动	chong fen diao dong
随时随地	sui shi sui di
军事行动	jun shi xing dong
没有见过	mei you jian guo
和平发展	he ping fa zhan
没有想过	mei you xiang guo
基础教育	ji chu jiao yu
社会福利	she hui fu li
居安思危	ju an si wei
结合起来	jie he qi lai
值得一提	zhi de yi ti
娱乐场所	yu le chang suo
基础薄弱	ji chu bo ruo
思想教育	si xiang jiao yu
五大连池	wu da lian chi
十分重视	shi fen zhong shi
屡见不鲜	lv jian bu xian
人际关系	ren ji guan xi
技术革新	ji shu ge xin
广告公司	guang gao gong si
证券市场	zheng quan shi chang
贸易逆差	mao yi ni cha
非常重视	fei chang zhong shi
没有别的	mei you bie de
南方周末	nan fang zhou mo
绝无仅有	jue wu jin you
优良传统	you liang chuan tong
方便快捷	fang bian kuai jie
津津乐道	jin jin le dao
成效显著	cheng xiao xian zhu
南开大学	nan kai da xue
行之有效	xing zhi you xiao
东北地区	dong bei di qu
发展速度	fa zhan su du
呼吸系统	hu xi xi tong
万无一失	wan wu yi shi
行政区划	xing zheng qu hua
回味无穷	hui wei wu qiong
数据结构	shu ju jie gou
免疫系统	mian yi xi tong
男女关系	nan nv guan xi
主要包括	zhu yao bao kuo
军医大学	jun yi da xue
价廉物美	jia lian wu mei
广大干部	guang da gan bu
抗美援朝	kang mei yuan chao
座谈会上	zuo tan hui shang
侥幸心理	jiao xing xin li
一个星期	yi ge xing qi
人类社会	ren lei she hui
大力加强	da li jia qiang
领导地位	ling dao di wei
合成纤维	he cheng xian wei
互相尊重	hu xiang zun zhong
家家户户	jia jia hu hu
就可以了	jiu ke yi le
花开花落	hua kai hua luo
秘密武器	mi mi wu qi
全体会议	quan ben hui yi
口腔溃疡	kou qiang kui yang
媒体曝光	mei ben bao guang
参考资料	can kao zi liao
无从谈起	wu cong tan qi
联欢晚会	lian huan wan hui
见利忘义	jian li wang yi
一件大事	yi jian da shi
理论体系	li lun ben xi
既得利益	ji de li yi
科幻小说	ke huan xiao shuo
困难重重	kun nan chong chong
薄弱环节	bo ruo huan jie
操作系统	cao zuo xi tong
适应社会	shi ying she hui
体育活动	ben yu huo dong
切实可行	qie shi ke xing
学术团体	xue shu tuan ben
哈哈大笑	ha ha da xiao
专科学校	zhuan ke xue xiao
可惜的是	ke xi de shi
齐齐哈尔	qi qi ha er
基本单位	ji ben dan wei
黑色金属	hei se jin shu
货比三家	huo bi san jia
候补委员	hou bu wei yuan
遗憾的是	yi han de shi
年度报告	nian du bao gao
物价上涨	wu jia shang zhang
无动于衷	wu dong yu zhong
石景山区	shi jing shan qu
节日快乐	jie ri kuai le
栽培技术	zai pei ji shu
广告宣传	guang gao xuan chuan
互相配合	hu xiang pei he
和平共处	he ping gong chu
中国最大	zhong guo zui da
股东大会	gu dong da hui
成千上万	cheng qian shang wan
独一无二	du yi wu er
说了一句	shuo le yi ju
历史学家	li shi xue jia
政府官员	zheng fu guan yuan
微乎其微	wei hu qi wei
技术落后	ji shu luo hou
美观大方	mei guan da fang
思想观念	si xiang guan nian
联合声明	lian he sheng ming
从业人员	cong ye ren yuan
万事如意	wan shi ru yi
国家安全	guo jia an quan
相似之处	xiang si zhi chu
哭笑不得	ku xiao bu de
技术交流	ji shu jiao liu
实地考察	shi di kao cha
贫困地区	pin kun di qu
协会会员	xie hui hui yuan
物价指数	wu jia zhi shu
没有限制	mei you xian zhi
职业学校	zhi ye xue xiao
张家港市	zhang jia gang shi
大力发展	da li fa zhan
违法行为	wei fa xing wei
法律知识	fa lv zhi shi
五角大楼	wu jiao da lou
问卷调查	wen juan diao cha
价格昂贵	jia ge ang gui
党的领导	dang de ling dao
两种类型	liang zhong lei xing
高等教育	gao deng jiao yu
恍然大悟	huang ran da wu
文化程度	wen hua cheng du
城市规划	cheng shi gui hua
金融系统	jin rong xi tong
良莠不齐	liang you bu qi
心得体会	xin de ben hui
所有的人	suo you de ren
行政诉讼	xing zheng su song
吓了一跳	xia le yi tao
紧随其后	jin sui qi hou
近在咫尺	jin zai zhi chi
党和人民	dang he ren min
排忧解难	pai you jie nan
大话西游	da hua xi you
无济于事	wu ji yu shi
教育孩子	jiao yu hai zi
看得出来	kan de chu lai
六中全会	liu zhong quan hui
录取分数	lu qu fen shu
没有证据	mei you zheng ju
和平解决	he ping jie jue
值得信赖	zhi de shen lai
出生日期	chu sheng ri qi
流行歌曲	liu xing ge qu
价格体系	jia ge ben xi
可乘之机	ke cheng zhi ji
乐于助人	le yu chu ren
乐此不疲	le ci bu pi
司法解释	si fa jie shi
百货大楼	bai huo da lou
无形资产	wu xing zi chan
数据显示	shu ju xian shi
借款合同	jie kuan he tong
长此以往	chang ci yi wang
还是自己	hai shi zi ji
强制执行	qiang zhi zhi xing
立竿见影	li gan jian ying
没听说过	mei ting shuo guo
是不对的	shi bu dui de
多长时间	duo chang shi jian
土地出让	tu di chu rang
和睦相处	he mu xiang chu
天下无双	tian xia wu shuang
意识形态	yi shi xing tai
社会和谐	she hui he xie
无私奉献	wu si feng xian
以及其他	yi ji qi ta
会计年度	kuai ji nian du
黑恶势力	hei e shi li
还不清楚	hai bu qing chu
进行试验	jin xing shi yan
很可能会	hen ke nai hui
武侠小说	wu xia xiao shuo
亚太地区	ya tai di qu
思维方式	si wei fang shi
所有人都	suo you ren dou
寥寥无几	liao liao wu ji
牟取暴利	mou qu bao li
绿色植物	lv se zhi wu
绿色软件	lv se ruan jian
西方国家	xi fang guo jia
显而易见	xian er yi jian
坚持到底	jian chi dao di
无微不至	wu wei bu zhi
工艺美术	gong yi mei shu
黄金地段	huang jin di duan
享乐主义	xiang le zhu yi
公共汽车	gong gong qi che
胡说八道	hu shuo ba dao
严肃查处	yan su cha chu
家庭主妇	jia ting zhu fu
神舟六号	shen zhou liu hao
知识经济	zhi shi jing ji
独断专行	du duan zhuan xing
还等什么	hai deng shen me
胡思乱想	hu si luan xiang
携带方便	xie dai fang bian
地方政府	di fang zheng fu
好久没有	hao jiu mei you
神经系统	shen jing xi tong
逐步提高	zhu bu ti gao
独具特色	du ju te se
航天技术	hang tian ji shu
办事效率	ban shi xiao lv
多种多样	duo zhong duo yang
剑桥大学	jian qiao da xue
前期工作	qian qi gong zuo
走的时候	zou de shi hou
家庭住址	jia ting zhu zhi
酒后驾车	jiu hou jia che
日用百货	ri yong bai huo
行政法规	xing zheng fa gui
社会氛围	she hui fen wei
种种原因	zhong zhong yuan yin
好久不见	hao jiu bu jian
扎扎实实	zha zha shi shi
生日快乐	sheng ri kuai le
有期徒刑	you qi tu xing
工程造价	gong cheng zao jia
猫和老鼠	mao he lao shu
在短期内	zai duan qi na
江南水乡	jiang nan shui xiang
言情小说	yan qing xiao shuo
网络服务	wang luo fu wu
信息披露	shen xi pi lu
签订合同	qian ding he tong
一汽大众	yi qi da zhong
脊椎动物	ji zhui dong wu
社会阶层	she hui jie ceng
国际会议	guo ji hui yi
切实加强	qie shi jia qiang
什么关系	shen me guan xi
任何人都	ren he ren dou
可有可无	ke you ke wu
模糊不清	mo hu bu qing
电脑网络	dian nao wang luo
没有道理	mei you dao li
无独有偶	wu du you ou
学生家长	xue sheng jia zhang
游戏规则	you xi gui ze
离家出走	li jia chu zou
阿里巴巴	a li ba ba
齐心协力	qi xin xie li
沿海地区	yan hai di qu
大力推广	da li tui guang
重要地位	zhong yao di wei
模范人物	mo fan ren wu
莎士比亚	sha shi bi ya
商业秘密	shang ye mi mi
家常便饭	jia chang bian fan
来龙去脉	lai long qu mai
没有兴趣	mei you xing cu
合情合理	he qing he li
园林绿化	yuan lin lv hua
花大力气	hua da li qi
无所不能	wu suo bu nai
豪华轿车	hao hua jiao che
红头文件	hong tou wen jian
几种方法	ji zhong fang fa
亲密接触	qin mi jie chu
无时无刻	wu shi wu ke
经济落后	jing ji luo hou
大学生活	da xue sheng huo
毛细血管	ma xi xue guan
自动识别	zi dong shi bie
血液循环	xue ye xun huan
什么区别	shen me qu bie
卡巴斯基	ka ba si ji
参政议政	can zheng yi zheng
国家利益	guo jia li yi
慷慨解囊	kang kai jie nang
机会难得	ji hui nan de
民主革命	min zhu ge ming
无家可归	wu jia ke gui
这么多年	zhe me duo nian
每个角落	mei ge jiao luo
安全意识	an quan yi shi
彻底解决	che di jie jue
转变观念	zhuan bian guan nian
不容乐观	bu rong le guan
民间传说	min jian chuan shuo
无产阶级	wu chan jie ji
核磁共振	he ci gong zhen
没有把握	mei you ba wo
那么多的	na me duo de
库尔勒市	ku er le shi
这个软件	zhe ge ruan jian
分配制度	fen pei zhi du
国家标准	guo jia biao zhun
星球大战	xing qiu da zhan
办公大楼	ban gong da lou
两弹一星	liang dan yi xing
提高效率	ti gao xiao lv
社会公德	she hui gong de
尽收眼底	jin shou yan di
豁然开朗	huo ran kai lang
第三季度	di san ji du
可圈可点	ke quan ke dian
势在必行	shi zai bi xing
解决矛盾	jie jue mao dun
重复建设	chong fu jian she
自己的事	zi ji de shi
先行一步	xian xing yi bu
严格执行	yan ge zhi xing
综上所述	zong shang suo shu
熟练掌握	shu lian zhang wo
名目繁多	ming mu fan duo
全体成员	quan ben cheng yuan
逻辑思维	luo ji si wei
我的名字	wo de ming zi
大家都是	da jia dou shi
知识结构	zhi shi jie gou
毫无保留	hao wu bao liu
可以见到	ke yi jian dao
严重不足	yan zhong bu zu
粮食生产	liang shi sheng chan
人都知道	ren dou zhi dao
莘莘学子	shen shen xue zi
建国初期	jian guo chu qi
重要标志	zhong yao biao zhi
令人遗憾	ling ren yi han
家庭理财	jia ting li cai
没有勇气	mei you yong qi
符合实际	fu he shi ji
精兵强将	jing bing qiang jiang
盲目乐观	mang mu le guan
百分之百	bai fen zhi bai
还没有人	hai mei you ren
为数不少	wei shu bu shao
安居乐业	an ju le ye
不能适应	bu nai shi ying
使用方便	shi yong fang bian
好戏连台	hao xi lian tai
思想品德	si xiang pin de
征求意见	zheng qiu yi jian
国家权力	guo jia quan li
自然和谐	zi ran he xie
汇率变动	hui lv bian dong
星光大道	xing guang da dao
不能解决	bu nai jie jue
何时何地	he shi he di
无能为力	wu nai wei li
随处可见	sui chu ke jian
这就是我	zhe jiu shi wo
阿拉伯语	a la bo yu
健康快乐	jian kang kuai le
强烈建议	qiang lie jian yi
无与伦比	wu yu lun bi
蒙娜丽莎	meng na li sha
大力开展	da li kai zhan
国家法律	guo jia fa lv
用人单位	yong ren dan wei
食品工业	shi pin gong ye
与会代表	yu hui dai biao
静脉注射	jing mai zhu she
齐抓共管	qi zhua gong guan
国家重点	guo jia zhong dian
依法查处	yi fa cha chu
不约而同	bu yue er tong
不可否认	bu ke fou ren
狂风暴雨	kuang feng bao yu
铜仁地区	tong ren di qu
深刻领会	shen ke ling hui
烟花爆竹	yan hua bao zhu
工会主席	gong hui zhu xi
义务教育	yi wu jiao yu
歇斯底里	xie si di li
株式会社	zhu shi hui she
并提出了	bing ti chu le
社会关系	she hui guan xi
深入浅出	shen ru qian chu
内容提要	na rong ti yao
翻了一番	fan le yi fan
突如其来	tu ru qi lai
优生优育	you sheng you yu
生命周期	sheng ming zhou qi
思维模式	si wei mo shi
互动关系	hu dong guan xi
你会发现	ni hui fa xian
重大事故	zhong da shi gu
达成共识	da cheng gong shi
联合攻关	lian he gong guan
在这方面	zai zhe fang mian
不折不扣	bu zhe bu kou
情节严重	qing jie yan zhong
初具规模	chu ju gui mo
适应能力	shi ying nai li
新年快乐	xin nian kuai le
秀色可餐	xiu se ke can
你有什么	ni you shen me
回心转意	hui xin zhuan yi
基本前提	ji ben qian ti
皆大欢喜	jie da huan xi
收购价格	shou gou jia ge
捷报频传	jie bao bin chuan
网络连接	wang luo lian jie
行为准则	xing wei zhun ze
自强不息	zi qiang bu xi
是可行的	shi ke xing de
思维能力	si wei nai li
至高无上	zhi gao wu shang
第六十二	di liu shi er
举例说明	ju li shuo ming
专业人员	zhuan ye ren yuan
正面教育	zheng mian jiao yu
海拔高度	hai ba gao du
摩尔多瓦	mo er duo wa
综艺节目	zong yi jie mu
党的建设	dang de jian she
约束机制	yue shu ji zhi
感性认识	gan xing ren shi
什么问题	shen me wen ti
举例来说	ju li lai shuo
留给我们	liu gei wo men
供求关系	gong qiu guan xi
巴勒斯坦	ba le si tan
不会忘记	bu hui wang ji
有什么用	you shen me yong
这意味着	zhe yi wei zhe
任重道远	ren zhong dao yuan
统计数字	tong ji shu zi
进行比较	jin xing bi jiao
行为能力	xing wei nai li
履行职责	lv xing zhi ze
忙忙碌碌	mang mang lu lu
简单明了	jian dan ming liao
传奇色彩	chuan qi se cai
相对湿度	xiang dui shi du
思想作风	si xiang zuo feng
技术含量	ji shu han liang
数以万计	shu yi wan ji
视觉效果	shi jue xiao guo
数据交换	shu ju jiao huan
时不时地	shi bu shi de
社会风气	she hui feng qi
甚至没有	shen zhi mei you
一般而言	yi ban er yan
一席之地	yi xi zhi di
传递信息	chuan di shen xi
更广泛的	geng guang fan de
百家争鸣	bai jia zheng ming
价格不菲	jia ge bu fei
尘埃落定	chen ai luo ding
社会地位	she hui di wei
无理取闹	wu li qu nao
迫不及待	po bu ji dai
第六十七	di liu shi qi
广大群众	guang da qun zhong
黄埔军校	huang pu jun xiao
讨价还价	tao jia huan jia
前提条件	qian ti tiao jian
价值判断	jia zhi pan duan
执法人员	zhi fa ren yuan
另辟蹊径	ling pi xi jing
比尔盖茨	bi er gai ci
梅开二度	mei kai er du
不遗余力	bu yi yu li
手忙脚乱	shou mang jiao luan
是这样的	shi zhe yang de
南水北调	nan shui bei diao
调查取证	diao cha qu zheng
中等教育	zhong deng jiao yu
没有想到	mei you xiang dao
几乎没有	ji hu mei you
电视广告	dian shi guang gao
深刻理解	shen ke li jie
心理学家	xin li xue jia
亡羊补牢	wang xiang bu lao
相互配合	xiang hu pei he
综合防治	zong he fang zhi
不可多得	bu ke duo de
丝毫没有	si hao mei you
身体力行	shen ben li xing
顺利进行	shun li jin xing
传统美德	chuan tong mei de
房地产商	fang di chan shang
考古学家	kao gu xue jia
自然地理	zi ran di li
眉飞色舞	mei fei se wu
上海交大	shang hai jiao da
喜闻乐见	xi wen le jian
令行禁止	ling xing jin zhi
环境恶劣	huan jing e lie
运行机制	yun xing ji zhi
所从事的	suo cong shi de
办公会议	ban gong hui yi
亲朋好友	qin peng hao you
逻辑关系	luo ji guan xi
久负盛名	jiu fu sheng ming
时间地点	shi jian di dian
没过多久	mei guo duo jiu
两个人都	liang ge ren dou
积极配合	ji ji pei he
没有必要	mei you bi yao
不怎么样	bu zen me yang
快快乐乐	kuai kuai le le
为什么不	wei shen me bu
见怪不怪	jian guai bu guai
食物中毒	shi wu zhong dai
加勒比海	jia le bi hai
流氓软件	liu mang ruan jian
现场会议	xian chang hui yi
降低成本	jiang di cheng ben
绝对不会	jue dui bu hui
六盘水市	liu pan shui shi
开门见山	kai men jian shan
区别对待	qu bie dui dai
斯里兰卡	si li lan ka
行使职权	xing shi zhi quan
邮件地址	you jian di zhi
公众参与	gong zhong can yu
空间技术	kong jian ji shu
某种意义	mou zhong yi yi
张家界市	zhang jia jie shi
承包合同	cheng bao he tong
好景不长	hao jing bu chang
进行到底	jin xing dao di
华东师大	hua dong shi da
核反应堆	he fan ying dui
全面落实	quan mian luo shi
永远不会	yong yuan bu hui
一见钟情	yi jian zhong qing
医药行业	yi yao hang ye
视而不见	shi er bu jian
调查核实	diao cha he shi
摩拳擦掌	mo quan ca zhang
手足无措	shou zu wu cuo
电话会议	dian hua hui yi
该怎么办	gai zen me ban
广州日报	guang zhou ri bao
大打折扣	da da zhe kou
艺术作品	yi shu zuo pin
千千万万	qian qian wan wan
浑身解数	hun shen xie shu
艰苦朴素	jian gu pu su
名存实亡	ming cun shi wang
批发价格	pi fa jia ge
圣彼得堡	sheng bi de bao
统一思想	tong yi si xiang
迫在眉睫	po zai mei jie
长治久安	chang zhi jiu an
提出异议	ti chu yi yi
大街小巷	da jie xiao xiang
色彩斑斓	se cai ban lan
中央党校	zhong yang dang xiao
为了防止	wei le fang zhi
不在少数	bu zai shao shu
红葡萄酒	hong pu tao jiu
你有没有	ni you mei you
地球科学	di qiu ke xue
乌兹别克	wu zi bie ke
仔细观察	zi xi guan cha
为了保证	wei le bao zheng
土地资源	tu di zi yuan
有什么事	you shen me shi
重大意义	zhong da yi yi
区委书记	qu wei shu ji
百分之二	bai fen zhi er
重中之重	zhong zhong zhi zhong
静脉曲张	jing mai qu zhang
面无表情	mian wu biao qing
说些什么	shuo suo shen me
从小到大	cong xiao dao da
这也许是	zhe ye hu shi
亲身体验	qin shen ben yan
我的文档	wo de wen dang
机会主义	ji hui zhu yi
期货市场	qi huo shi chang
不得而知	bu de er zhi
红斑狼疮	hong ban lang chuang
星火计划	xing huo ji hua
话说回来	hua shuo hui lai
这是因为	zhe shi yin wei
红颜知己	hong yan zhi ji
相提并论	xiang ti bing lun
证券交易	zheng quan jiao yi
结合实际	jie he shi ji
从来没有	cong lai mei you
都没有了	dou mei you le
麻痹大意	ma bi da yi
一般说来	yi ban shuo lai
一无所知	yi wu suo zhi
稀有金属	xi you jin shu
活期存款	huo qi cun kuan
行业发展	hang ye fa zhan
优先选择	you xian xuan ze
肆无忌惮	si wu ji da
感谢大家	gan xie da jia
历史长河	li shi chang he
无可厚非	wu ke hou fei
所在单位	suo zai dan wei
各负其责	ge fu qi ze
归根结底	gui gen jie di
不一会儿	bu yi hui er
我的意思	wo de yi si
出租汽车	chu zu qi che
合理合法	he li he fa
数控机床	shu kong ji chuang
相当重要	xiang dang zhong yao
